nombre_brevets,inventor
Volker Till,1
Robert John DRAZOVICH,1
Yann MATHIER,1
Patrick J. Scannon,1
Mathieu Schott,1
Wei-Ling Chang,1
Anne Sara PUIJALON,1
Ricardo Augusto Fittipaldi Dias,1
Erdem Arslan,1
Jacques Barbier,1
Lauri Kapp,1
Albin BARKLUND,1
Philippe Guichard,1
Terdsak YANANONT,1
Christine PONCET,1
傅强,1
Asbjörn Skotte,1
Thierry Waeckerle,1
Sylvain Savard,1
Janine Anne Flood,1
Brad MCNAMARA,1
Christopher Hall,1
Giacomo Bersano,1
侯恩星,1
Veronique Coxam,1
Bruno Résidence Campagne Valérie CHARDIN,1
Michael Doucet,1
Fabrice Fontaine,1
Roland Dersch,1
Bernard Balet,1
Nicolas Livet,1
Jérôme Grosbois,1
David Charles Oertel,1
Kirsti A. Golgotiu,1
Hasan Sinan BANK,1
Hervé Turchi,1
Paul Alary,1
Antoine Charles Bily,1
Adam Bowen,1
Uwe Zimmermann,1
Claire O'Malley,1
Guillaume Pinto,1
Ayal RAM,1
Jean François GALTIE,1
Michael Sean Pratt,1
Jean-Philippe Pineau,1
Paul Jacques Louis Hubert Bouwens,1
Robin Andersson,1
David Kramer,1
Daniel James BUCKLEY,1
Tom Edward Dufresne,1
Jong Hyeon KOO,1
Jérôme GUILBOT,1
Jochen Glasbrenner,1
Santipap UMPAWANWONG,1
Damien Marx,1
Benedikt Ostermaier,1
Otto Morger,1
刘谦益,1
Olena Danylova,1
Grant BRANTON,1
Jean Luc Ayral,1
Brandon Ace ALEXANDER,1
Stephen Alexander WHINSTON,1
Pratik Misra,1
Ronald Zeelen,1
Jens Altemark,1
Walt Stachon,1
Tov Westby,1
Andreas MÜLLER,1
Philippe Cinquin,1
Vincent Grandjon,1
François MORVAN,1
Pierre-Alexandre Lafoucriere,1
Alain Thiebot,1
Andre Arnaud,1
Dounyazade CHABANE SARI,1
Valerie Cenizo,1
Eszter Toth,1
Guillaume CHOLLET,1
Hendrik Plant Research International B.V. JALINK,1
Joël GILBERT,1
Maud CANSELL,1
Jacques Rivkine,1
Maxime SARTORI,1
Catherine Ghezzi,1
Claude Andriot,1
Amir GROSMAN,1
Makio Takasaki Plant  Fujita,1
Yang Ni,1
Johan NAZARALY,1
Jean Hughes Renault,1
Dirk Guido Vandenhirtz,1
Michel Vialle,1
Olivier De Beaumarchais,1
Salvatore FRUSTACI,1
Khalid Kouiss,1
Eric Freville,1
Jean-Francois Hanocq,1
Alex Hr Roustaei,1
Diana Pham Le Viet,1
Josef Stangl,1
Hervé Reychler,1
Jürgen Wagner,1
Jean Jaubert,1
Stefan Hengstler,1
Yoan BRISON,1
Olivier Raphael,1
Sébastien PAUL,1
François HELT,1
Benoît RAUCENT,1
Ali MA,1
Claude Garrigues,1
Frederic Evennou,1
Loïc Ledermann,1
Gauthier Gibert,1
Morten Larsen,1
Frédéric Cointault,1
Julien Grange,1
David Ordureau,1
Antonio Gigante,1
Raymond Aschheim,1
Christian Jeudy,1
Monica NOVARA,1
Florent SAEZ,1
Marc Purcell,1
Jean-Marie FRACHISSE,1
Heinz Seibert,1
Franck Dumeignil,1
Olivier Serres,1
Mickaël Poletti,1
James Bostick,1
Matthieu URBAN,1
Arnold Martin,1
Heiko Zimmermann,1
Jérôme LECOMTE,1
Jean Moulin,1
Wolfgang Gerlinger,1
Stephane Bornes,1
Raymond Uros,1
Michaël FAGNO,1
Etienne Marie Conan,1
Arthur Marais,1
Thomas UGHETTO,1
Yves Poirier,1
Olivier Huet,1
Hammad Aslam KHAN,1
Achim Duesselberg,1
Jérôme GALLOYER,1
Jérémy CORDELIER,1
Denis Muller,1
Marco Frizzi,1
Ramla Arbia,1
James TROCH,1
Jean-No[L Rabaud,1
Alexander J. Gould,1
Alain Lejosne,1
Olivier CIONI,1
Thomas Brichart,1
Stephane Chanthapanya,1
Pierre Blanc,1
Thirouin Stephane,1
David Bouguedra,1
Rudiger Hain,1
Gerald Germain,1
Jean-François CANTALOUBE,1
Frederic Martel,1
Sylvie HERY,1
Christian Juette,1
Julien LASZLO,1
Annie Audibert,1
Daniel Arnaud,1
Christophe Salon,1
Bertrand Guichard,1
Marc Benderitter,1
Catherine Venet,1
Leong Bin Peter CHIA,1
Frédéric DESTRIBOS,1
Florence PIOLA,1
Denis LHOSPITALIER,1
Patrick Ballu,1
Carole Chaix,1
Marc Welzel,1
Gijsbert Morren,1
Sylvaine SAINT JALMES,1
Besim Tahincioglu,1
Etoungh Dimitri Manga,1
Robert Pansu,1
Gisele Kimura-Gonord,1
Patrice Saillard,1
Juergen Lennartz,1
Denis Uzio,1
Pascal Welzel,1
Peter Miles,1
Braeckelaer Philippe De,1
Malgorzata Sowinska,1
Albert Maraval,1
Isabelle Ducrocq,1
Yukihiro Asami,1
Ludmilla Dahl,1
Emilie Henin,1
John GANCI JR,1
Valérie de la Poterie,1
Chantal Fournier-Wirth,1
Guylene Le Guen,1
Alexis BROISAT,1
Benjamin PEYRONNEAUD,1
Adeline NAVARRO,1
Junior Sergio Delarcina,1
Robert Michael Jones,1
Muriel SACCOCCIO,1
Nobuyasu NARUSE,1
Nicolas SCHOEMAEKER,1
Paul Hafey,1
Graeme Laycock,1
André Mann,1
Aristide LACOMBE,1
Hicham AIT RASS,1
Frank Kies,1
Manuela Zude,1
Michel KOCHER,1
Edmond Pierre Picard,1
Roberto Rubini,1
Patrick Vervaet,1
Michel Manach,1
François BURON,1
Fabienne Brossard,1
Rémi IMBERT,1
Luca Cristoforetti,1
Hailong Zhu,1
Michele TATEO,1
James Say,1
Marc Lanciaux,1
Vincent NOUGIER,1
Philippe ROBINET,1
Engin Kutlay,1
Jean-Pierre Charton,1
Agnès DUPONT-FILLIARD,1
Francois Robert,1
Stephen M. Lebleu,1
Marielle Moreau,1
Jean-Bernard POUVREAU,1
Sergei A. Dmitriev,1
Alexandra Chaumonnot,1
Bastien BILLIOT,1
Carole FARRE,1
Esteves Simone Soares,1
John E Thomas,1
Bernard Guay,1
Karine Ancolio Morcq,1
Tiana RAKOTOVAO ANDRIAMAHEFA,1
Sandrine Alfenore,1
Thierry DUVIGNEAU-LOBRE,1
Jean Luc Porqueras,1
Jean-Marie Beau,1
Jean-Pierre Flandrois,1
Martin Safranko,1
Arnaud THOBIE,1
Marie BRULAS,1
Elsje QUADRELLI,1
John Allen Manifold,1
Serge Poullain,1
Claire Moulis,1
Manuel Cândido DUARTE DOS SANTOS,1
Gupta HARDIK,1
Hubert Diez,1
Zonggeng LI,1
Cécile JOSEPH,1
Roland Maximilien Koszali,1
Alessandro Vaccari,1
Jean-Pierre Pelicier,1
Belinda PEREZ BIBBINS,1
Daniel Dockner,1
Julien CHAREL,1
Hervé David,1
Serge Jacques NICOLLE,1
Matthieu COURTINE,1
Jeffrey Allen Bowles,1
Marcio Lorencini,1
Christophe Milon,1
Hiroyuki Ichikawa,1
Rene Proharam,1
Céline Bernard,1
Frédéric MARTEL,1
Kaba Saran Diakite,1
Jacques Joas,1
Kim Huynh-Kieu,1
Sophie DEPREY,1
Jean Milon,1
Johan Verink,1
Ivar Waleij,1
Alexis Kourganoff,1
Catherine Rameau,1
Francois GHILLEBAERT,1
Valeriu Vrabie,1
Hugo Goncalves,1
Fabio Forestelli,1
Benoît MALLEN,1
Gorka Arrizabalaga,1
Stephane Moularat,1
Roland Marcel Daniel Fouche,1
Lance NIST,1
Francois Thermy,1
Arnaud Madec,1
Alexandre CASADEI,1
Rinaldo FADINI,1
Simon JESTIN,1
Filomena A Macedo,1
Arturo ESCAROZ CETINA,1
Michel Saliou,1
Marion CANALE,1
Lucile HOCH,1
Laurent Lajus,1
Eric Christian Jacques Rhetat,1
Jean Louis Vigneau,1
Philippe Feuillard,1
Philippe Gabin,1
Jean-Marie Bachmann,1
Frédéric DAUMAS,1
Ilyes CHAKROUN,1
Thomas JUNILLON,1
Nicholas Booth,1
Denis DAUVERGNE,1
Oleg GOMOLKO,1
Jean-Pierre Peyrade,1
Gilles Marchand,1
Bastien Villareale,1
Tetsuo Tawara,1
Moise Rogez,1
Ward William Ostendorf,1
Rémi VAUCLIN,1
Isabelle Terrisse,1
Oliveira Ana Paula Pedroso De,1
Valérie MICARD,1
Ivan Launay,1
Yosepha SHAHAK RAVID,1
Hiroshi c/o NIRASAKI Plant Mitsui Mining Sato,1
Pascal Vacherand,1
Arnon Tabic,1
Massimo Ciscato,1
Nick Devoogdt,1
Syrine KERFAI,1
Oytun Tuzcu,1
Franck Barbarot,1
François DUVEAU,1
Freddy Dombray,1
Benoît SUZANNE,1
Patrick Arsicault,1
Duane P Johnson,1
Vojtech Ocelik,1
Markus Mornhinweg,1
Alain Meybeck,1
Tarik ZERIOUH,1
Anne-Laure Bulteau,1
Julien WERLY,1
Philippe Abbe,1
Filiz CELIK,1
Richard Wilby,1
Christophe Lafourcade,1
Pierre VILPOUX,1
Philippe Dupourque,1
Marco SIMONETTI,1
Mickael Rospars,1
Tiina Luukas,1
Frode THORSÉN,1
Wactaw Grzeszczak,1
Jean-Luc POËSSEL,1
Marc LABRUNÉE,1
Rohner Johann,1
Celine Moussay,1
Kjeld Jensen,1
Alain Lunati,1
Thomas Gerner Jacobsen,1
Thierry Bernoud,1
Serge Sudron,1
Thorsten Pollatz,1
Vincent Deschamps,1
Jean-Sébastien VELLA,1
Fabrice Bonnaudin,1
Titus Selzer,1
Christian Gerri,1
Adrien JAUFFRET,1
Simon Mignard Benoit,1
Simona BIRTIC,1
Pascal Larose,1
Christian Triantaphylides,1
Stephane Arditty,1
Jean Paul M L Martin,1
